"player","runs","balls","fours","sixes","strike_rate","matches_played","dismissals","batting_average"
"SA Yadav",2141,1296,192,123,165.200617283951,60,47,45.5531914893617
"PP Shaw",0,1,0,0,0,1,1,0
"CV Varun",0,2,0,0,0,6,1,0
"RD Gaikwad",540,402,53,23,134.328358208955,19,14,38.5714285714286
"D Padikkal",38,38,2,1,100,2,2,19
"N Rana",15,30,0,0,50,2,2,7.5
"C Sakariya",5,10,0,0,50,2,0,0
"S Sandeep Warrier",0,0,0,0,NA,1,0,0
"DJ Hooda",368,262,29,18,140.458015267176,21,12,30.6666666666667
"HV Patel",77,61,9,3,126.229508196721,25,6,12.8333333333333
"Arshdeep Singh",34,29,3,1,117.241379310345,44,4,8.5
"Avesh Khan",11,8,0,1,137.5,20,1,11
"Ravi Bishnoi",24,15,2,1,160,24,4,6
"Umran Malik",5,2,1,0,250,8,0,0
"VR Iyer",133,88,15,5,151.136363636364,9,4,33.25
"Shubman Gill",335,234,31,16,143.162393162393,14,13,25.7692307692308
"Shivam Mavi",28,18,2,2,155.555555555556,6,2,14
"RA Tripathi",97,68,11,5,142.647058823529,5,5,19.4
"Tilak Varma",391,284,32,22,137.676056338028,16,10,39.1
"Mukesh Kumar",5,2,1,0,250,14,0,0
"YBK Jaiswal",502,324,55,28,154.938271604938,17,16,31.375
"RK Singh",356,210,31,20,169.52380952381,15,4,89
"M Prasidh Krishna",0,0,0,0,NA,5,0,0
"JM Sharma",100,71,11,4,140.845070422535,9,7,14.2857142857143
"R Sai Kishore",0,0,0,0,NA,3,0,0
"Shahbaz Ahmed",0,0,0,0,NA,2,0,0
"V Sehwag",394,284,43,16,138.732394366197,18,18,21.8888888888889
"SR Tendulkar",10,13,2,0,76.9230769230769,1,1,10
"D Mongia",38,45,4,1,84.4444444444444,1,1,38
"IK Pathan",172,146,9,7,117.808219178082,23,7,24.5714285714286
"Harbhajan Singh",108,94,11,4,114.893617021277,27,8,13.5
"Z Khan",13,10,0,1,130,17,2,6.5
"AB Agarkar",15,11,2,0,136.363636363636,3,2,7.5
"S Sreesanth",20,14,4,0,142.857142857143,9,1,20
"G Gambhir",932,818,109,10,113.936430317848,36,34,27.4117647058824
"RV Uthappa",249,215,26,6,115.813953488372,12,10,24.9
"RP Singh",3,3,0,0,100,9,0,0
"Joginder Sharma",0,0,0,0,NA,4,0,0
"YK Pathan",236,172,11,17,137.209302325581,22,13,18.1538461538462
"P Kumar",7,16,0,0,43.75,10,3,2.33333333333333
"I Sharma",8,9,1,0,88.8888888888889,14,1,8
"M Kartik",0,0,0,0,NA,1,0,0
"PP Ojha",10,6,0,1,166.666666666667,6,0,0
"M Vijay",169,165,13,8,102.424242424242,9,9,18.7777777777778
"PP Chawla",0,1,0,0,0,7,1,0
"R Vinay Kumar",2,4,0,0,50,9,0,0
"AB Dinda",22,24,1,0,91.6666666666667,9,1,22
"S Tyagi",0,0,0,0,NA,1,0,0
"NV Ojha",12,28,2,0,42.8571428571429,2,2,6
"MM Patel",0,1,0,0,0,3,1,0
"PA Patel",36,33,4,1,109.090909090909,2,2,18
"R Dravid",31,21,0,3,147.619047619048,1,1,31
"S Badrinath",43,38,5,0,113.157894736842,1,1,43
"R Sharma",0,0,0,0,NA,2,0,0
"MK Tiwary",15,17,0,0,88.2352941176471,3,1,15
"L Balaji",0,0,0,0,NA,5,0,0
"P Awana",0,0,0,0,NA,2,0,0
"KV Sharma",0,0,0,0,NA,1,0,0
"MM Sharma",3,8,0,0,37.5,8,0,0
"Sandeep Sharma",1,1,0,0,100,2,0,0
"S Aravind",0,0,0,0,NA,1,0,0
"P Negi",0,0,0,0,NA,1,0,0
